Scenario,Year,Baseline_GDP_Trillion_USD,Scenario_GDP_Trillion_USD,Additional_GDP_Trillion_USD,Total_Capital_Deployed_Trillion_Yen,Annual_Deployment_Trillion_Yen,Annual_Capex_Growth_Increment_Pct,Additional_GDP_Growth_Per_Year_Pct
Aggressive,2025,4.606,4.606,0.0,95.6,9.6,17.23,2.2799
Aggressive,2026,4.6157,4.7207,0.105,95.6,9.6,17.23,2.2799
Aggressive,2027,4.6254,4.8382,0.2129,95.6,9.6,17.23,2.2799
Aggressive,2028,4.6351,4.9587,0.3236,95.6,9.6,17.23,2.2799
Aggressive,2029,4.6448,5.0821,0.4373,95.6,9.6,17.23,2.2799
Aggressive,2030,4.6545,5.2087,0.5541,95.6,9.6,17.23,2.2799
Aggressive,2031,4.6643,5.3383,0.674,95.6,9.6,17.23,2.2799
Aggressive,2032,4.6741,5.4713,0.7972,95.6,9.6,17.23,2.2799
Aggressive,2033,4.6839,5.6075,0.9236,95.6,9.6,17.23,2.2799
Aggressive,2034,4.6937,5.7471,1.0534,95.6,9.6,17.23,2.2799
Aggressive,2035,4.7036,5.8902,1.1866,95.6,9.6,17.23,2.2799
Baseline,2025,4.606,4.606,0.0,0.0,0.0,0.0,0.0
Baseline,2026,4.6157,4.6157,0.0,0.0,0.0,0.0,0.0
Baseline,2027,4.6254,4.6254,0.0,0.0,0.0,0.0,0.0
Baseline,2028,4.6351,4.6351,0.0,0.0,0.0,0.0,0.0
Baseline,2029,4.6448,4.6448,0.0,0.0,0.0,0.0,0.0
Baseline,2030,4.6545,4.6545,0.0,0.0,0.0,0.0,0.0
Baseline,2031,4.6643,4.6643,0.0,0.0,0.0,0.0,0.0
Baseline,2032,4.6741,4.6741,0.0,0.0,0.0,0.0,0.0
Baseline,2033,4.6839,4.6839,0.0,0.0,0.0,0.0,0.0
Baseline,2034,4.6937,4.6937,0.0,0.0,0.0,0.0,0.0
Baseline,2035,4.7036,4.7036,0.0,0.0,0.0,0.0,0.0
Conservative,2025,4.606,4.606,0.0,31.9,3.2,5.74,0.76
Conservative,2026,4.6157,4.6507,0.035,31.9,3.2,5.74,0.76
Conservative,2027,4.6254,4.6958,0.0704,31.9,3.2,5.74,0.76
Conservative,2028,4.6351,4.7413,0.1063,31.9,3.2,5.74,0.76
Conservative,2029,4.6448,4.7873,0.1425,31.9,3.2,5.74,0.76
Conservative,2030,4.6545,4.8337,0.1792,31.9,3.2,5.74,0.76
Conservative,2031,4.6643,4.8806,0.2163,31.9,3.2,5.74,0.76
Conservative,2032,4.6741,4.9279,0.2538,31.9,3.2,5.74,0.76
Conservative,2033,4.6839,4.9757,0.2918,31.9,3.2,5.74,0.76
Conservative,2034,4.6937,5.024,0.3303,31.9,3.2,5.74,0.76
Conservative,2035,4.7036,5.0727,0.3691,31.9,3.2,5.74,0.76
Moderate,2025,4.606,4.606,0.0,63.8,6.4,11.49,1.5199
Moderate,2026,4.6157,4.6857,0.07,63.8,6.4,11.49,1.5199
Moderate,2027,4.6254,4.7667,0.1414,63.8,6.4,11.49,1.5199
Moderate,2028,4.6351,4.8492,0.2141,63.8,6.4,11.49,1.5199
Moderate,2029,4.6448,4.9331,0.2883,63.8,6.4,11.49,1.5199
Moderate,2030,4.6545,5.0184,0.3639,63.8,6.4,11.49,1.5199
Moderate,2031,4.6643,5.1052,0.4409,63.8,6.4,11.49,1.5199
Moderate,2032,4.6741,5.1935,0.5194,63.8,6.4,11.49,1.5199
Moderate,2033,4.6839,5.2833,0.5994,63.8,6.4,11.49,1.5199
Moderate,2034,4.6937,5.3747,0.681,63.8,6.4,11.49,1.5199
Moderate,2035,4.7036,5.4677,0.7641,63.8,6.4,11.49,1.5199
