Calendar_Year,Capex_100M_Yen,Capex_Trillion_Yen,Dividends_100M_Yen,Dividends_Trillion_Yen,Earned_Surplus_100M_Yen,Earned_Surplus_Trillion_Yen,TOPIX_Year_End,TOPIX_Annual_High,TOPIX_Annual_Low,GDP_Constant_2015_USD,GDP_Per_Capita_Constant_2015_USD,Gross_Domestic_Savings_Pct_GDP,Gross_Fixed_Capital_Formation_Pct_GDP
2001,365023.21,36.5023,44955.87,4.4956,,,1032.14,1440.97,988.98,4002148544212.9,31476.0520665746,28.348950322757,27.7309731011096
2002,299610.49,29.961,65093.0,6.5093,,,843.29,1139.43,815.74,4003827945767.2,31416.1241772309,27.1626283393396,26.2604182019213
2003,325610.24,32.561,72334.87,7.2335,,,1043.69,1105.59,770.62,4065291729517.45,31830.217584972,27.2664239803683,25.7133538154767
2004,401840.75,40.1841,85848.62,8.5849,,,1149.63,1217.87,1022.61,4154163710039.3,32515.1158024695,27.546383090773,25.3239274810451
2005,386095.0,38.6095,125286.08,12.5286,,,1649.76,1663.75,1109.19,4229100705435.58,33098.5474664881,27.4541628451824,25.9010440257525
2006,441365.0,44.1365,162174.14,16.2174,,,1681.07,1783.72,1458.3,4287138774362.24,33531.518563066,27.3759077018862,26.0446863446433
2007,445810.0,44.581,140390.49,14.039,,,1475.68,1816.97,1437.38,4350758602405.54,33990.0360341367,27.5303983057463,25.4051268567059
2008,275024.32,27.5024,122097.63,12.2098,,,859.24,1430.47,746.46,4297492743392.88,33557.6454041595,26.2111712279742,25.2928155191183
2009,331366.3,33.1366,122851.0,12.2851,,,907.59,975.59,700.93,4052826324003.77,31651.0837739562,23.0521414382073,23.624293447427
2010,330801.52,33.0802,103573.78,10.3574,,,898.8,998.9,803.12,4218907820178.57,32942.2020783835,23.9288581146225,22.6196594231882
2011,333165.13,33.3165,119004.84,11.9005,2817494.27,281.7494,728.61,974.63,706.08,4219912322040.1,33011.1342301291,22.894532483638,23.3511623002885
2012,346430.97,34.6431,139573.68,13.9574,3044828.36,304.4828,859.8,872.42,695.51,4277925608846.49,33518.4449368599,22.3635480474837,23.7736492973571
2013,369289.92,36.929,144002.34,14.4002,3279556.67,327.9557,1302.29,1302.29,871.88,4363702302793.37,34239.8862473488,22.0071688533491,24.5565269630113
2014,398228.01,39.8228,168833.23,16.8833,3543774.57,354.3775,1407.51,1447.58,1132.76,4376627829634.98,34386.9058552671,22.4422381175418,25.0845490939861
2015,426365.39,42.6365,222105.57,22.2106,3778689.0,377.8689,1547.3,1691.29,1357.98,4444930651964.18,34960.6393843385,24.6114592004978,24.9714561746572
2016,429380.29,42.938,200801.82,20.0802,4062348.0,406.2348,1518.61,1552.36,1196.28,4478437728050.46,35242.199377148,25.6412705749051,24.7606842913738
2017,454475.45,45.4475,233181.73,23.3182,4464844.0,446.4844,1817.56,1831.93,1459.07,4553466417290.11,35861.9728545672,25.9744916132228,25.0073498435107
2018,491276.54,49.1277,262068.33,26.2068,4631308.0,463.1308,1494.09,1911.07,1415.55,4582763011478.55,36138.5290824814,25.6616737039553,25.2677675892842
2019,440393.77,44.0394,243951.02,24.3951,4750161.0,475.0161,1721.36,1747.2,1471.16,4564332550096.38,36043.7844013518,25.5003129532535,25.5475785734924
2020,418314.1,41.8314,262436.74,26.2437,4843648.0,484.3648,1804.68,1819.18,1236.34,4374056271824.01,34642.9718743239,24.9551743179788,25.4716981132075
2021,456612.88,45.6613,298649.45,29.8649,5164750.0,516.475,1992.33,2118.87,1791.22,4492005937826.88,35741.1601062924,25.3046685192408,25.5546376460195
2022,476559.27,47.6559,325690.95,32.5691,5547777.0,554.7777,1891.71,2039.27,1758.89,4534320578755.85,36238.3294895302,23.0554356242395,26.2617706144091
2023,514642.85,51.4643,357305.16,35.7305,6009857.0,600.9857,2366.39,2430.3,1868.15,4601203385713.7,36952.5150709861,24.7344835596478,26.0120879352945
2024,555159.17,55.5159,400746.71,40.0747,6375316.0,637.5316,2784.92,2929.17,2227.15,4606002855955.13,37152.5636003552,25.3094395485879,26.0840902660166
