Data_Year,Source_File_Year,Capex_100M_Yen,Capex_Trillion_Yen
2001,2005,365023.21,36.5023
2002,2006,299610.49,29.961
2003,2007,325610.24,32.561
2004,2008,401840.75,40.1841
2005,2009,386095.0,38.6095
2006,2010,441365.0,44.1365
2007,2011,445810.0,44.581
2008,2012,275024.32,27.5024
2009,2013,331366.3,33.1366
2010,2014,330801.52,33.0802
2011,2015,333165.13,33.3165
2012,2016,346430.97,34.6431
2013,2017,369289.92,36.929
2014,2018,398228.01,39.8228
2015,2019,426365.39,42.6365
2016,2020,429380.29,42.938
2017,2021,454475.45,45.4475
2018,2022,491276.54,49.1277
2019,2023,440393.77,44.0394
2020,2024,418314.1,41.8314
2021,2024,456612.88,45.6613
2022,2024,476559.27,47.6559
2023,2024,514642.85,51.4643
2024,2024,555159.17,55.5159
