Data_Year,Source_File_Year,Dividends_100M_Yen,Dividends_Trillion_Yen
2001,2005,44955.87,4.4956
2002,2006,65093.0,6.5093
2003,2007,72334.87,7.2335
2004,2008,85848.62,8.5849
2005,2009,125286.08,12.5286
2006,2010,162174.14,16.2174
2007,2011,140390.49,14.039
2008,2012,122097.63,12.2098
2009,2013,122851.0,12.2851
2010,2014,103573.78,10.3574
2011,2015,119004.84,11.9005
2012,2016,139573.68,13.9574
2013,2017,144002.34,14.4002
2014,2018,168833.23,16.8833
2015,2019,222105.57,22.2106
2016,2020,200801.82,20.0802
2017,2021,233181.73,23.3182
2018,2022,262068.33,26.2068
2019,2023,243951.02,24.3951
2020,2024,262436.74,26.2437
2021,2024,298649.45,29.8649
2022,2024,325690.95,32.5691
2023,2024,357305.16,35.7305
2024,2024,400746.71,40.0747
