Data_Year,Source_File_Year,Earned_Surplus_100M_Yen,Earned_Surplus_Trillion_Yen
2011,2015,2817494.27,281.7494
2012,2016,3044828.36,304.4828
2013,2017,3279556.67,327.9557
2014,2018,3543774.57,354.3775
2015,2019,3778689.0,377.8689
2016,2020,4062348.0,406.2348
2017,2021,4464844.0,446.4844
2018,2022,4631308.0,463.1308
2019,2023,4750161.0,475.0161
2020,2024,4843648.0,484.3648
2021,2024,5164750.0,516.475
2022,2024,5547777.0,554.7777
2023,2024,6009857.0,600.9857
2024,2024,6375316.0,637.5316
