Calendar_Year,Germany_GDP_Constant_2015_USD,Germany_GDP_Per_Capita_USD,Germany_Gross_Savings_Pct_GDP,Germany_GFCF_Pct_GDP,Japan_GDP_Constant_2015_USD,Japan_GDP_Per_Capita_USD,Japan_Gross_Savings_Pct_GDP,Japan_GFCF_Pct_GDP,Korea_GDP_Constant_2015_USD,Korea_GDP_Per_Capita_USD,Korea_Gross_Savings_Pct_GDP,Korea_GFCF_Pct_GDP,USA_GDP_Constant_2015_USD,USA_GDP_Per_Capita_USD,USA_Gross_Savings_Pct_GDP,USA_GFCF_Pct_GDP
2001,2933181986968.52,35618.5143698493,24.3261080468042,21.5433631059471,4002148544212.9,31476.0520665746,28.348950322757,27.7309731011096,874473540684.493,18460.4288193829,33.1822212238157,30.5058350146188,13781388409036.2,48361.0167607073,18.6164321260218,22.5385071620869
2002,2926486831428.63,35477.5151544301,24.200084556707,19.8867030080599,4003827945767.2,31416.1241772309,27.1626283393396,26.2604182019213,942192762521.074,19775.3800655139,32.4058372992285,30.187571612987,14015733659783.6,48729.1586442625,17.6990846646438,21.5398908373713
2003,2910982263391.97,35270.0227284267,23.1977722341475,19.2638822568625,4065291729517.45,31830.217584972,27.2664239803683,25.7133538154767,971162614185.718,20278.0406421178,33.8569071728879,31.0719624895722,14407558345762.9,49662.7520549839,17.1895780029461,21.6226206280687
2004,2944810405337.25,35687.6378708542,23.9853207968461,18.8314639081743,4154163710039.3,32515.1158024695,27.546383090773,25.3239274810451,1021504157422.6,21244.8136800528,36.0614170143495,30.9148949506372,14961928297813.8,51098.5573007417,17.4615655447704,22.1277420778003
2005,2970886268370.04,36024.0947047021,23.6887230136173,18.7644203275559,4229100705435.58,33098.5474664881,27.4541628451824,25.9010440257525,1066023726231.41,22123.7613066851,34.855409925184,30.4585673582197,15483134541390.2,52393.4513113092,17.7012879306199,22.9346369798954
2006,3085761005285.65,37459.261328042,25.077652935891,19.4624059220668,4287138774362.24,33531.518563066,27.3759077018862,26.0446863446433,1121936729365.41,23162.1860111297,33.5721769686454,30.5042866575012,15914268559668.9,53335.5896950225,17.8450467380027,23.038167049868
2007,3174912263837.68,38593.0749910508,27.1771129170567,19.7151702055684,4350758602405.54,33990.0360341367,27.5303983057463,25.4051268567059,1187479862374.9,24391.7651013448,34.0338690182543,30.0691213268305,16233167950743.9,53889.3964951775,17.4731329113429,22.3230160837388
2008,3203102383827.36,39009.8477636357,26.6713140332448,19.9630399184329,4297492743392.88,33557.6454041595,26.2111712279742,25.2928155191183,1223156560996.14,24934.5396367691,33.3397618516593,30.8917515930741,16251606759787.8,53442.7136899777,16.021378981836,21.235478492072
2009,3025504625850.04,36940.4078672661,22.7763365236952,18.8381977329318,4052826324003.77,31651.0837739562,23.0521414382073,23.624293447427,1233184753860.86,25009.9148311999,33.502975968798,30.8870549838266,15832884074310.8,51611.3217087719,14.873651581317,18.8101380427197
2010,3150598283304.25,38526.7371042695,24.6365179752682,19.1861612229759,4218907820178.57,32942.2020783835,23.9288581146225,22.6196594231882,1319281537670.41,26623.0487122927,35.2951031135222,30.4627998691082,16259610790677.0,52555.7695134023,15.1349978430449,18.3139445259228
