Year,TOPIX_First_Trading_Day,TOPIX_Annual_High,TOPIX_Annual_Low,TOPIX_Year_End
2000,1717.47,1754.78,1255.16,1283.67
2001,1280.94,1440.97,988.98,1032.14
2002,1053.96,1139.43,815.74,843.29
2003,860.07,1105.59,770.62,1043.69
2004,1058.99,1217.87,1022.61,1149.63
2005,1153.38,1663.75,1109.19,1649.76
2006,1673.07,1783.72,1458.3,1681.07
2007,1698.95,1816.97,1437.38,1475.68
2008,1411.91,1430.47,746.46,859.24
2009,875.91,975.59,700.93,907.59
2010,915.75,998.9,803.12,898.8
2011,911.8,974.63,706.08,728.61
2012,742.99,872.42,695.51,859.8
2013,888.51,1302.29,871.88,1302.29
2014,1292.15,1447.58,1132.76,1407.51
2015,1401.09,1691.29,1357.98,1547.3
2016,1509.67,1552.36,1196.28,1518.61
2017,1554.48,1831.93,1459.07,1817.56
2018,1863.82,1911.07,1415.55,1494.09
2019,1471.16,1747.2,1471.16,1721.36
2020,1697.49,1819.18,1236.34,1804.68
2021,1794.59,2118.87,1791.22,1992.33
2022,2030.22,2039.27,1758.89,1891.71
2023,1868.15,2430.3,1868.15,2366.39
2024,2378.79,2929.17,2227.15,2784.92
2025,2756.38,3431.47,2288.66,3408.97
