Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Japan,JPN,3986755544463.82,4002148544212.9,4003827945767.2,4065291729517.45,4154163710039.3,4229100705435.58,4287138774362.24,4350758602405.54,4297492743392.88,4052826324003.77,4218907820178.57,4219912322040.1,4277925608846.49,4363702302793.37,4376627829634.98,4444930651964.18,4478437728050.46,4553466417290.11,4582763011478.55,4564332550096.38,4374056271824.01,4492005937826.88,4534320578755.85,4601203385713.7,4606002855955.13,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2885963533943.47,2933181986968.52,2926486831428.63,2910982263391.97,2944810405337.25,2970886268370.04,3085761005285.65,3174912263837.68,3203102383827.36,3025504625850.04,3150598283304.25,3268996785218.57,3284148978797.69,3297186905208.25,3369071713224.27,3425099578746.09,3501212900675.89,3599173571724.7,3640049243667.4,3675639268112.03,3523764998709.97,3661544208117.2,3727790994177.62,3695372350062.48,3677048776153.86,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,United States,USA,13650948362520,13781388409036.2,14015733659783.6,14407558345762.9,14961928297813.8,15483134541390.2,15914268559668.9,16233167950743.9,16251606759787.8,15832884074310.8,16259610790677,16513977256911.2,16892000920975.5,17249744800617.5,17685097277697.8,18206020741000,18537270454435.6,18992846546661.7,19556270302218.3,20061570168697.6,19627632559934.5,20816096100824.5,21339074561820,21955252291273.6,22568462768174.3,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Korea, Rep.",KOR,835011437852.054,874473540684.493,942192762521.074,971162614185.718,1021504157422.6,1066023726231.41,1121936729365.41,1187479862374.9,1223156560996.14,1233184753860.86,1319281537670.41,1367937063745.25,1402787524457.73,1448958816285.78,1495538208413.16,1539212301135.55,1588028842393.05,1642548917819.59,1694718171579.25,1733930596323.25,1721788880530.99,1801214449834.76,1850343736945.76,1879634949821.72,1917295522781.86,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Japan,JPN,31430.631130325,31476.0520665746,31416.1241772309,31830.217584972,32515.1158024695,33098.5474664881,33531.518563066,33990.0360341367,33557.6454041595,31651.0837739562,32942.2020783835,33011.1342301291,33518.4449368599,34239.8862473488,34386.9058552671,34960.6393843385,35242.199377148,35861.9728545672,36138.5290824814,36043.7844013518,34642.9718743239,35741.1601062924,36238.3294895302,36952.5150709861,37152.5636003552,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Germany,DEU,35104.1308467844,35618.5143698493,35477.5151544301,35270.0227284267,35687.6378708542,36024.0947047021,37459.261328042,38593.0749910508,39009.8477636357,36940.4078672661,38526.7371042695,40722.4849268242,40834.5088218456,40884.8926759028,41602.4661281668,41929.7549110722,42516.9337063103,43543.4807050551,43905.8550061973,44235.2658954682,42372.8726784255,44011.0194631674,44817.1316331389,44368.9920074881,44027.7631554469,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States,USA,48379.7551705781,48361.0167607073,48729.1586442625,49662.7520549839,51098.5573007417,52393.4513113092,53335.5896950225,53889.3964951775,53442.7136899777,51611.3217087719,52555.7695134023,52956.6630340962,53738.1476714593,54462.6252412407,55394.4510435329,56572.9188996063,57151.4708448372,58151.7021391854,59526.665698712,60750.9898621637,59194.6665172031,62680.2503585805,63886.1317069841,65186.5977244157,66356.1706750101,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Korea, Rep.",KOR,17763.1353417297,18460.4288193829,19775.3800655139,20278.0406421178,21244.8136800528,22123.7613066851,23162.1860111297,24391.7651013448,24934.5396367691,25009.9148311999,26623.0487122927,27393.455357272,27944.0564190045,28732.711152033,29470.6732991655,30171.7906545222,31005.4072876388,31979.9027302467,32852.8887488942,33496.3113815643,33215.9298928108,34792.9397214598,35809.0138105144,36347.7036392553,37048.4264001496,..
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Japan,JPN,29.7820561404675,28.348950322757,27.1626283393396,27.2664239803683,27.546383090773,27.4541628451824,27.3759077018862,27.5303983057463,26.2111712279742,23.0521414382073,23.9288581146225,22.894532483638,22.3635480474837,22.0071688533491,22.4422381175418,24.6114592004978,25.6412705749051,25.9744916132228,25.6616737039553,25.5003129532535,24.9551743179788,25.3046685192408,23.0554356242395,24.7344835596478,25.3094395485879,..
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Germany,DEU,24.129673281181,24.3261080468042,24.200084556707,23.1977722341475,23.9853207968461,23.6887230136173,25.077652935891,27.1771129170567,26.6713140332448,22.7763365236952,24.6365179752682,26.1212416861128,25.5119887971193,25.5629203762105,26.6784722245491,26.9120157562447,26.977350471487,27.6420520174852,27.5189209179885,26.9885052922019,27.0351115129596,27.7931967173048,25.7470691007898,25.9662598860951,25.2768210451909,..
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,United States,USA,19.9608953005988,18.6164321260218,17.6990846646438,17.1895780029461,17.4615655447704,17.7012879306199,17.8450467380027,17.4731329113429,16.021378981836,14.873651581317,15.1349978430449,15.3179600577581,16.5569941422251,17.3613954399454,17.7426352889336,18.1511093940371,17.7313088433413,17.8206940166992,18.2090969463905,18.3872667792114,17.3498643959484,16.409338797498,16.9791117428493,17.3875791309142,17.1067567574704,..
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,"Korea, Rep.",KOR,34.8334237537156,33.1822212238157,32.4058372992285,33.8569071728879,36.0614170143495,34.855409925184,33.5721769686454,34.0338690182543,33.3397618516593,33.502975968798,35.2951031135222,34.1433681473028,33.7447491121167,34.1992129289363,34.4303773828112,35.8602944893542,36.3086493125632,36.4709355988436,35.4458365066422,33.831178495402,35.2103082561703,35.864250124296,33.3300613676458,32.2761724912913,34.0290975945706,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Japan,JPN,28.4871419080841,27.7309731011096,26.2604182019213,25.7133538154767,25.3239274810451,25.9010440257525,26.0446863446433,25.4051268567059,25.2928155191183,23.624293447427,22.6196594231882,23.3511623002885,23.7736492973571,24.5565269630113,25.0845490939861,24.9714561746572,24.7606842913738,25.0073498435107,25.2677675892842,25.5475785734924,25.4716981132075,25.5546376460195,26.2617706144091,26.0120879352945,26.0840902660166,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Germany,DEU,22.8829484518656,21.5433631059471,19.8867030080599,19.2638822568625,18.8314639081743,18.7644203275559,19.4624059220668,19.7151702055684,19.9630399184329,18.8381977329318,19.1861612229759,20.0081182128282,19.9663127661399,19.5771468839831,19.782574460457,19.7477510746575,20.0438468833034,20.1339289732412,20.8175234345652,21.1522978107472,21.3426763110307,21.181504152251,21.6010467765749,21.1916877404125,20.4603173503166,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,United States,USA,23.1462885256504,22.5385071620869,21.5398908373713,21.6226206280687,22.1277420778003,22.9346369798954,23.038167049868,22.3230160837388,21.235478492072,18.8101380427197,18.3139445259228,18.7369868048565,19.5126025510627,19.7983980671233,20.4864937674979,20.7502235317815,20.8016632416177,21.1343937588394,21.4240428649128,21.4897485242357,21.8887242742465,21.6159536186479,21.7099777470183,21.7264982141848,21.6987566313724,..
